orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20.99, A_a =  0.158642612745
 orb_index = 0, gpp_a = 0.0109062
orb_index = 1, gpp_a = 0.0108626
orb_index = 2, gpp_a = 0.0105864
orb_index = 3, gpp_a = 0.010202
orb_index = 4, gpp_a = 0.0091449
orb_index = 5, gpp_a = 0.00926681
orb_index = 6, gpp_a = 0.00912
orb_index = 7, gpp_a = 0.00915585
orb_index = 8, gpp_a = 0.0091284
orb_index = 9, gpp_a = 0.00899329
orb_index = 10, gpp_a = 0.00872063
orb_index = 11, gpp_a = 0.00855147
orb_index = 12, gpp_a = 0.00839186
orb_index = 13, gpp_a = 0.00827916
orb_index = 14, gpp_a = 0.00809915
orb_index = 15, gpp_a = 0.00800255
orb_index = 16, gpp_a = 0.00736962
orb_index = 17, gpp_a = 2.59414e-05
orb_index = 18, gpp_a = 2.59325e-05
orb_index = 19, gpp_a = 2.59063e-05
orb_index = 20, gpp_a = 2.58663e-05
orb_index = 21, gpp_a = 2.58395e-05
orb_index = 22, gpp_a = 2.58143e-05
orb_index = 23, gpp_a = 2.57144e-05
orb_index = 24, gpp_a = 2.57053e-05
orb_index = 25, gpp_a = 2.57076e-05
orb_index = 26, gpp_a = 2.56908e-05
orb_index = 27, gpp_a = 2.56621e-05
orb_index = 28, gpp_a = 2.56498e-05
orb_index = 29, gpp_a = 2.56425e-05
orb_index = 30, gpp_a = 2.55738e-05
orb_index = 31, gpp_a = 2.5536e-05
orb_index = 32, gpp_a = 2.55193e-05
orb_index = 33, gpp_a = 2.54301e-05
orb_index = 34, gpp_a = 2.41047e-05
orb_index = 35, gpp_a = 2.40984e-05
orb_index = 36, gpp_a = 2.40723e-05
orb_index = 37, gpp_a = 2.4038e-05
orb_index = 38, gpp_a = 2.4071e-05
orb_index = 39, gpp_a = 2.40686e-05
orb_index = 40, gpp_a = 2.40601e-05
orb_index = 41, gpp_a = 2.40056e-05
orb_index = 42, gpp_a = 2.39847e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -21, A_a =  0.155434557632
 orb_index = 0, gpp_a = 0.0111768
orb_index = 1, gpp_a = 0.0111315
orb_index = 2, gpp_a = 0.0108452
orb_index = 3, gpp_a = 0.010447
orb_index = 4, gpp_a = 0.00935354
orb_index = 5, gpp_a = 0.0094792
orb_index = 6, gpp_a = 0.00932775
orb_index = 7, gpp_a = 0.00936443
orb_index = 8, gpp_a = 0.00933607
orb_index = 9, gpp_a = 0.00919646
orb_index = 10, gpp_a = 0.00891514
orb_index = 11, gpp_a = 0.00874028
orb_index = 12, gpp_a = 0.00857547
orb_index = 13, gpp_a = 0.00845879
orb_index = 14, gpp_a = 0.00827294
orb_index = 15, gpp_a = 0.00817321
orb_index = 16, gpp_a = 0.00752073
orb_index = 17, gpp_a = 2.59707e-05
orb_index = 18, gpp_a = 2.59618e-05
orb_index = 19, gpp_a = 2.59355e-05
orb_index = 20, gpp_a = 2.58954e-05
orb_index = 21, gpp_a = 2.58686e-05
orb_index = 22, gpp_a = 2.58434e-05
orb_index = 23, gpp_a = 2.57433e-05
orb_index = 24, gpp_a = 2.57342e-05
orb_index = 25, gpp_a = 2.57365e-05
orb_index = 26, gpp_a = 2.57197e-05
orb_index = 27, gpp_a = 2.56909e-05
orb_index = 28, gpp_a = 2.56786e-05
orb_index = 29, gpp_a = 2.56712e-05
orb_index = 30, gpp_a = 2.56025e-05
orb_index = 31, gpp_a = 2.55646e-05
orb_index = 32, gpp_a = 2.55479e-05
orb_index = 33, gpp_a = 2.54585e-05
orb_index = 34, gpp_a = 2.4131e-05
orb_index = 35, gpp_a = 2.41247e-05
orb_index = 36, gpp_a = 2.40986e-05
orb_index = 37, gpp_a = 2.40642e-05
orb_index = 38, gpp_a = 2.40972e-05
orb_index = 39, gpp_a = 2.40948e-05
orb_index = 40, gpp_a = 2.40864e-05
orb_index = 41, gpp_a = 2.40318e-05
orb_index = 42, gpp_a = 2.40108e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20.989, A_a =  0.158968904425
 orb_index = 0, gpp_a = 0.0112019
orb_index = 1, gpp_a = 0.0111565
orb_index = 2, gpp_a = 0.0108692
orb_index = 3, gpp_a = 0.0104697
orb_index = 4, gpp_a = 0.00937286
orb_index = 5, gpp_a = 0.00949887
orb_index = 6, gpp_a = 0.00934699
orb_index = 7, gpp_a = 0.00938375
orb_index = 8, gpp_a = 0.0093553
orb_index = 9, gpp_a = 0.00921527
orb_index = 10, gpp_a = 0.00893314
orb_index = 11, gpp_a = 0.00875776
orb_index = 12, gpp_a = 0.00859246
orb_index = 13, gpp_a = 0.00847541
orb_index = 14, gpp_a = 0.00828902
orb_index = 15, gpp_a = 0.008189
orb_index = 16, gpp_a = 0.0075347
orb_index = 17, gpp_a = 2.59734e-05
orb_index = 18, gpp_a = 2.59644e-05
orb_index = 19, gpp_a = 2.59382e-05
orb_index = 20, gpp_a = 2.58981e-05
orb_index = 21, gpp_a = 2.58712e-05
orb_index = 22, gpp_a = 2.5846e-05
orb_index = 23, gpp_a = 2.57459e-05
orb_index = 24, gpp_a = 2.57368e-05
orb_index = 25, gpp_a = 2.57391e-05
orb_index = 26, gpp_a = 2.57223e-05
orb_index = 27, gpp_a = 2.56935e-05
orb_index = 28, gpp_a = 2.56812e-05
orb_index = 29, gpp_a = 2.56738e-05
orb_index = 30, gpp_a = 2.56051e-05
orb_index = 31, gpp_a = 2.55672e-05
orb_index = 32, gpp_a = 2.55505e-05
orb_index = 33, gpp_a = 2.54611e-05
orb_index = 34, gpp_a = 2.41334e-05
orb_index = 35, gpp_a = 2.41271e-05
orb_index = 36, gpp_a = 2.4101e-05
orb_index = 37, gpp_a = 2.40666e-05
orb_index = 38, gpp_a = 2.40996e-05
orb_index = 39, gpp_a = 2.40972e-05
orb_index = 40, gpp_a = 2.40888e-05
orb_index = 41, gpp_a = 2.40342e-05
orb_index = 42, gpp_a = 2.40132e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20.988, A_a =  0.159296210183
orb_index = 0, gpp_a = 11.6888100532
orb_index = 1, gpp_a = 13.217713392
orb_index = 2, gpp_a = 34.4531897753
orb_index = 3, gpp_a = 75.7476427529
orb_index = 4, gpp_a = 3.15638210305
orb_index = 5, gpp_a = 3.75994769063
orb_index = 6, gpp_a = 2.98577520239
orb_index = 7, gpp_a = 3.00901208213
orb_index = 8, gpp_a = 2.86521365367
orb_index = 9, gpp_a = 2.27681084895
orb_index = 10, gpp_a = 1.5760897685
orb_index = 11, gpp_a = 1.22538782729
orb_index = 12, gpp_a = 1.00065859231
orb_index = 13, gpp_a = 0.844923086117
orb_index = 14, gpp_a = 0.68488604232
orb_index = 15, gpp_a = 0.61512586212
orb_index = 16, gpp_a = 0.338343909448
orb_index = 17, gpp_a = 3.08100856365e-05
orb_index = 18, gpp_a = 3.09792383084e-05
orb_index = 19, gpp_a = 3.41543064399e-05
orb_index = 20, gpp_a = 4.01998785595e-05
orb_index = 21, gpp_a = 2.89182238795e-05
orb_index = 22, gpp_a = 2.89788634409e-05
orb_index = 23, gpp_a = 2.84645679282e-05
orb_index = 24, gpp_a = 2.84333144151e-05
orb_index = 25, gpp_a = 2.84125817782e-05
orb_index = 26, gpp_a = 2.83817336466e-05
orb_index = 27, gpp_a = 2.83583008295e-05
orb_index = 28, gpp_a = 2.83416035204e-05
orb_index = 29, gpp_a = 2.83009048805e-05
orb_index = 30, gpp_a = 2.81342202167e-05
orb_index = 31, gpp_a = 2.80827887872e-05
orb_index = 32, gpp_a = 2.80660648355e-05
orb_index = 33, gpp_a = 2.79779693028e-05
orb_index = 34, gpp_a = 2.64905466779e-05
orb_index = 35, gpp_a = 2.64837152829e-05
orb_index = 36, gpp_a = 2.64533748291e-05
orb_index = 37, gpp_a = 2.64146621739e-05
orb_index = 38, gpp_a = 2.64509904913e-05
orb_index = 39, gpp_a = 2.64483463416e-05
orb_index = 40, gpp_a = 2.64376639533e-05
orb_index = 41, gpp_a = 2.63752323682e-05
orb_index = 42, gpp_a = 2.63531821131e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20.071, A_a =  159.446655545
 orb_index = 0, gpp_a = 0.0112271
orb_index = 1, gpp_a = 0.0111815
orb_index = 2, gpp_a = 0.0108933
orb_index = 3, gpp_a = 0.0104924
orb_index = 4, gpp_a = 0.00939224
orb_index = 5, gpp_a = 0.0095186
orb_index = 6, gpp_a = 0.00936629
