-20 293.852022247	 0.942239	0.977407	1.25766	1.93152	18.7635	13.4428	21.3266	21.1948	23.8492	45.668	79.3893	32.2618	14.8867	8.50641	4.74081	3.63392	1.07857
-19.999 290.668608903	 0.923251	0.957354	1.22849	1.8764	17.3124	12.5257	19.6049	19.4889	21.8566	41.3625	83.051	35.5386	16.0631	9.03096	4.96212	3.78286	1.10276
-19.998 287.980135733	 0.904828	0.937911	1.20032	1.82359	16.0111	11.6947	18.0661	17.9637	20.0796	37.4779	85.373	39.2032	17.3722	9.60343	5.19895	3.941	1.12778
-19.997 285.47036361	 0.88695	0.919051	1.1731	1.77296	14.8415	10.94	16.6878	16.5974	18.492	33.9965	86.1052	43.2796	18.8325	10.2296	5.45276	4.1091	1.15365
-19.996 282.979415125	 0.869595	0.900753	1.14679	1.7244	13.7879	10.2529	15.4505	15.3706	17.071	30.8891	85.1644	47.7765	20.4648	10.9159	5.72515	4.28799	1.18041
-19.995 280.520908176	 0.852742	0.882994	1.12136	1.6778	12.8364	9.626	14.3371	14.2665	15.796	28.1219	82.6572	52.6767	22.293	11.6698	6.01794	4.4786	1.20812
-19.994 278.242120908	 0.836374	0.865753	1.09675	1.63305	11.975	9.05278	13.333	13.2704	14.6496	25.6597	78.8505	57.9226	24.344	12.5	6.33316	4.68195	1.23681
-19.993 276.342459232	  0.82047	0.849011	1.07295	1.59005	11.1934	8.5275	12.425	12.3696	13.6162	23.4685	74.1061	63.4001	26.6477	13.4164	6.67309	4.89919	1.26653
-19.992 274.982178548	 0.805015	0.832749	1.04991	1.54872	10.4826	8.04516	11.6022	11.553	12.6825	21.5166	68.8042	68.9226	29.2368	14.4302	7.04029	5.13157	1.29732
-19.991 274.213198321	 0.78999	0.816947	1.0276	1.50897	9.83461	7.60137	10.8548	10.8111	11.8368	19.7755	63.2843	74.2228	32.1458	15.5545	7.43766	5.38051	1.32925
-19.99 273.952324799	 0.775382	0.80159	1.00599	1.47073	9.24262	7.19225	10.1742	10.1354	11.0691	18.2196	57.8125	78.9601	35.4093	16.8044	7.86846	5.64757	1.36236
-19.989 274.003166297	 0.761174	0.786661	0.985049	1.43391	8.70061	6.8144	9.55318	9.5187	10.3704	16.8262	52.5742	82.7537	39.0594	18.1971	8.3364	5.9345	1.39672
-19.988 274.119496644	 0.747351	0.772143	0.964756	1.39845	8.20333	6.4648	8.98522	8.95453	9.7333	15.5757	47.6825	85.2426	43.1203	19.7525	8.84569	6.24327	1.43239
-19.987 274.088857658	 0.733901	0.758023	0.945081	1.36428	7.74615	6.14078	8.46469	8.43736	9.15092	14.4507	43.1942	86.1613	47.6012	21.493	9.40112	6.57609	1.46943
-19.986 273.80400371	 0.720809	0.744285	0.926001	1.33135	7.32504	5.83996	7.98666	7.96229	8.61746	13.4362	39.1262	85.4057	52.4856	23.4442	10.0081	6.93544	1.50792
-19.985 273.290540436	  0.708064	0.730916	0.90749	1.29958	6.93639	5.56023	7.54677	7.52504	8.12779	12.5192	35.4695	83.0616	57.7173	25.6348	10.673	7.32412	1.54793
-19.984 272.677339497	 0.695653	0.717904	0.889527	1.26893	6.57707	5.29971	7.14121	7.12181	7.67741	11.6884	32.1999	79.3813	63.1839	28.0963	11.4028	7.74528	1.58954
-19.983 272.123922652	 0.683565	0.705235	0.872091	1.23935	6.24427	5.05672	6.7666	6.74927	7.26237	10.9338	29.2854	74.7197	68.701	30.8627	12.2059	8.2025	1.63285
-19.982 271.738937636	 0.671788	0.692897	0.85516	1.21078	5.93551	4.82974	6.41996	6.40447	6.87918	10.2469	26.6914	69.4588	74.0036	33.9689	13.0914	8.69985	1.67793
-19.981 271.525533717	 0.660312	0.68088	0.838717	1.18319	5.64859	4.61744	6.09864	6.0848	6.52474	9.62013	24.3833	63.945	78.7531	37.4487	14.0704	9.24195	1.7249
-19.98 271.375602646	  0.649127	0.669172	0.822741	1.15653	5.38154	4.4186	5.8003	5.78793	6.19634	9.04707	22.3284	58.4536	82.5696	41.3308	15.1552	9.83405	1.77385
-19.979 271.114000923	 0.638224	0.657762	0.807216	1.13075	5.13261	4.23212	5.52286	5.5118	5.89155	8.52196	20.4967	53.1788	85.0912	45.6324	16.3602	10.4822	1.8249
-19.978 270.57278601	 0.627592	0.646641	0.792126	1.10582	4.90022	4.05701	5.26444	5.25456	5.60821	8.03979	18.8614	48.2413	86.0494	50.3503	17.7018	11.1932	1.87817
-19.977 269.660735882	 0.617222	0.635799	0.777453	1.0817	4.68299	3.89239	5.02339	5.01456	5.34439	7.59616	17.3985	43.7034	85.3359	55.4484	19.1989	11.975	1.93379
-19.976 268.393630024	 0.607108	0.625227	0.763183	1.05836	4.47963	3.73744	4.79821	4.79033	5.0984	7.18721	16.0869	39.5858	83.0317	60.8417	20.8731	12.8366	1.9919
