-19.927 1.39037271858	 0.441003	0.419852	0.2026	0.168728	0.157804
-19.926 1.40732002126	 0.447297	0.425701	0.204562	0.170219	0.159154
-19.925 1.42459151834	 0.453726	0.431673	0.206553	0.171731	0.160522
-19.924 1.4421957894	 0.460295	0.437771	0.208573	0.173262	0.161908
-19.923 1.46014170615	 0.467007	0.443999	0.210623	0.174814	0.163312
-19.922 1.47843844469	 0.473867	0.450361	0.212703	0.176387	0.164734
-19.921 1.49709549825	 0.480879	0.45686	0.214814	0.177981	0.166174
-19.92 1.51612269069	 0.488047	0.4635	0.216957	0.179597	0.167634
-19.919 1.53553019063	 0.495376	0.470286	0.219132	0.181235	0.169113
-19.918 1.55532852625	 0.502872	0.477222	0.22134	0.182896	0.170612
-19.917 1.57552860095	 0.510538	0.484313	0.223581	0.184579	0.17213
-19.916 1.59614170969	 0.518381	0.491562	0.225857	0.186286	0.173669
-19.915 1.61717955633	 0.526406	0.498974	0.228167	0.188016	0.175229
-19.914 1.63865427171	 0.534617	0.506556	0.230513	0.189771	0.176809
-19.913 1.66057843282	  0.543023	0.514311	0.232895	0.19155	0.178412
-19.912 1.68296508288	 0.551627	0.522245	0.235314	0.193355	0.180036
-19.911 1.70582775261	 0.560437	0.530364	0.237772	0.195185	0.181682
-19.91 1.72918048255	 0.56946	0.538673	0.240267	0.197041	0.183351
-19.909 1.75303784662	 0.578701	0.547179	0.242803	0.198924	0.185043
-19.908 1.777414977	 0.588169	0.555887	0.245378	0.200834	0.186759
-19.907 1.80232759039	 0.59787	0.564804	0.247995	0.202771	0.188498
-19.906 1.82779201563	 0.607813	0.573937	0.250654	0.204737	0.190262
-19.905 1.85382522305	 0.618006	0.583293	0.253356	0.206731	0.192051
-19.904 1.88044485534	 0.628456	0.592879	0.256101	0.208755	0.193865
-19.903 1.90766926022	 0.639173	0.602702	0.258892	0.210808	0.195705
-19.902 1.93551752504	 0.650165	0.612771	0.261728	0.212892	0.197571
-19.901 1.96400951331	 0.661443	0.623094	0.264611	0.215007	0.199464
-19.9 1.99316590348	 0.673017	0.63368	0.267542	0.217154	0.201385
-19.899 2.02300822989	 0.684895	0.644537	0.270522	0.219333	0.203333
-19.898 2.05355892628	 0.69709	0.655674	0.273552	0.221544	0.20531
-19.897 2.08484137183	 0.709613	0.667102	0.276633	0.22379	0.207315
-19.896 2.11687994003	 0.722475	0.67883	0.279766	0.226069	0.20935
-19.895 2.14970005058	 0.735689	0.69087	0.282953	0.228384	0.211415
-19.894 2.18332822443	 0.749268	0.703231	0.286194	0.230734	0.213511
-19.893 2.2177921423	 0.763226	0.715927	0.289491	0.233121	0.215638
-19.892 2.2531207069	 0.777575	0.728968	0.292846	0.235545	0.217797
-19.891 2.28934410903	 0.792332	0.742368	0.296259	0.238006	0.219989
-19.89 2.32649389801	 0.807511	0.75614	0.299732	0.240507	0.222213
-19.889 2.36460305663	 0.82313	0.770297	0.303267	0.243047	0.224472
-19.888 2.40370608096	 0.839204	0.784855	0.306864	0.245628	0.226765
-19.887 2.44383906553	 0.855752	0.799828	0.310525	0.24825	0.229094
-19.886 2.48503979407	 0.872793	0.815231	0.314253	0.250914	0.231458
-19.885 2.52734783643	 0.890346	0.831083	0.318048	0.253621	0.23386
-19.884 2.57080465206	 0.908432	0.8474	0.321912	0.256372	0.236299
-19.883 2.61545370063	 0.927073	0.8642	0.325846	0.259168	0.238776
-19.882 2.66134056022	 0.946291	0.881503	0.329853	0.26201	0.241292
-19.881 2.7085130539	 0.966111	0.89933	0.333935	0.264899	0.243848
-19.88 2.7570213852	 0.986557	0.9177	0.338092	0.267836	0.246445
-19.879 2.80691828324	 1.00766	0.936637	0.342328	0.270822	0.249084
-19.878 2.8582591584	 1.02944	0.956164	0.346643	0.273858	0.251765
-19.877 2.91110226933	 1.05193	0.976306	0.351041	0.276945	0.25449
-19.876 2.96550890218	 1.07516	0.997088	0.355522	0.280085	0.257259
-19.875 3.02154356333	 1.09917	1.01854	0.36009	0.283279	0.260073
-19.874 3.07927418655	 1.12399	1.04068	0.364746	0.286527	0.262934
-19.873 3.1387723559	 1.14965	1.06356	0.369493	0.289832	0.265843
-19.872 3.20011354585	 1.1762	1.08719	0.374334	0.293194	0.2688
-19.871 3.26337738008	  1.20368	1.11162	0.379269	0.296615	0.271806
-19.87 3.32864791058	 1.23212	1.13687	0.384303	0.300096	0.274863
-19.869 3.39601391901	 1.26158	1.16299	0.389438	0.303638	0.277972
-19.868 3.46556924229	 1.2921	1.19002	0.394676	0.307243	0.281134
-19.867 3.53741312472	 1.32374	1.218	0.40002	0.310913	0.28435
-19.866 3.61165059902	 1.35655	1.24696	0.405473	0.314649	0.287621
-19.865 3.68839289921	  1.39058	1.27697	0.411039	0.318453	0.290949
-19.864 3.7677579082	 1.42591	1.30807	0.416719	0.322326	0.294336
-19.863 3.84987064361	 1.46259	1.34032	0.422518	0.32627	0.297781
-19.862 3.93486378551	 1.5007	1.37376	0.428439	0.330287	0.301288
-19.861 4.0228782503	 1.5403	1.40847	0.434485	0.334378	0.304856
-19.86 4.11406381528	 1.58148	1.44449	0.440659	0.338546	0.308488
-19.859 4.20857979924	 1.62433	1.48191	0.446966	0.342792	0.312186
-19.858 4.30659580469	 1.66893	1.5208	0.453408	0.347118	0.31595
-19.857 4.40829252829	 1.71538	1.56122	0.459991	0.351526	0.319783
-19.856 4.51386264661	 1.76378	1.60327	0.466718	0.356019	0.323686
-19.855 4.62351178541	 1.81424	1.64703	0.473593	0.360599	0.32766
-19.854 4.73745958134	 1.86688	1.69259	0.480621	0.365267	0.331709
-19.853 4.85594084637	 1.92183	1.74005	0.487807	0.370027	0.335832
-19.852 4.97920684628	 1.97922	1.78952	0.495154	0.374879	0.340033
-19.851 5.10752670619	 2.0392	1.84112	0.502668	0.379828	0.344313
-19.85 5.24118895747	 2.10192	1.89497	0.510355	0.384875	0.348674
-19.849 5.38050324267	 2.16755	1.95119	0.518218	0.390024	0.353119
-19.848 5.52580219669	 2.23628	2.00993	0.526264	0.395276	0.357648
-19.847 5.67744352552	 2.3083	2.07134	0.534499	0.400635	0.362266
-19.846 5.83581230601	 2.38382	2.13559	0.542928	0.406103	0.366973
-19.845 6.00132353406	  2.46307	2.20284	0.551558	0.411684	0.371773
-19.844 6.1744249517	 2.5463	2.27329	0.560394	0.417381	0.376667
-19.843 6.35560018835	 2.63376	2.34714	0.569444	0.423196	0.381658
-19.842 6.54537225624	 2.72576	2.42461	0.578715	0.429134	0.386749
-19.841 6.74430744575	 2.82261	2.50594	0.588213	0.435197	0.391943
-19.84 6.95301967325	 2.92465	2.59139	0.597946	0.44139	0.397241
-19.839 7.17217534144	 3.03226	2.68123	0.607923	0.447715	0.402648
-19.838 7.40249878166	 3.14583	2.77577	0.61815	0.454177	0.408165
-19.837 7.64477835763	 3.26582	2.87535	0.628637	0.46078	0.413797
-19.836 7.89987332265	 3.3927	2.9803	0.639393	0.467527	0.419546
-19.835 8.16872153651	 3.52701	3.09104	0.650426	0.474424	0.425415
-19.834 8.45234816511	 3.66933	3.20798	0.661747	0.481474	0.431408
-19.833 8.75187550535	 3.82031	3.33159	0.673365	0.488681	0.437528
-19.832 9.06853410118	 3.98063	3.46238	0.68529	0.496052	0.443779
-19.831 9.40367534372	 4.15108	3.6009	0.697535	0.50359	0.450165
-19.83 9.75878578033	 4.33251	3.74777	0.710109	0.511301	0.456689
-19.829 10.1355033955	 4.52586	3.90366	0.723026	0.51919	0.463356
-19.828 10.5356361711	 4.73218	4.06932	0.736297	0.527263	0.47017
-19.827 10.9611832861	 4.95263	4.24555	0.749935	0.535525	0.477135
-19.826 11.4143593786	 5.1885	4.43325	0.763955	0.543983	0.484255
