orb_index = 13, gpp_a = 2.65097e-05
orb_index = 14, gpp_a = 2.64454e-05
orb_index = 15, gpp_a = 2.64072e-05
orb_index = 16, gpp_a = 2.62993e-05
orb_index = 17, gpp_a = 2.62145e-05
orb_index = 18, gpp_a = 2.61768e-05
orb_index = 19, gpp_a = 4.21762e-09
orb_index = 20, gpp_a = 1.56157e-09
orb_index = 21, gpp_a = 3.6207e-08
orb_index = 22, gpp_a = -2.42245e-10
orb_index = 23, gpp_a = -1.38527e-11
orb_index = 24, gpp_a = -2.47804e-11
w = -19.995, A_a =  0.706129273611
 orb_index = 0, gpp_a = 0.205087
orb_index = 1, gpp_a = 0.198228
orb_index = 2, gpp_a = 0.116729
orb_index = 3, gpp_a = 0.101418
orb_index = 4, gpp_a = 0.0962109
orb_index = 5, gpp_a = 2.91465e-05
orb_index = 6, gpp_a = 2.9137e-05
orb_index = 7, gpp_a = 2.88779e-05
orb_index = 8, gpp_a = 2.87375e-05
orb_index = 9, gpp_a = 2.87058e-05
orb_index = 10, gpp_a = 2.66895e-05
orb_index = 11, gpp_a = 2.66636e-05
orb_index = 12, gpp_a = 2.66251e-05
orb_index = 13, gpp_a = 2.65152e-05
orb_index = 14, gpp_a = 2.6451e-05
orb_index = 15, gpp_a = 2.6413e-05
orb_index = 16, gpp_a = 2.63052e-05
orb_index = 17, gpp_a = 2.62201e-05
orb_index = 18, gpp_a = 2.61823e-05
orb_index = 19, gpp_a = 4.27268e-09
orb_index = 20, gpp_a = 1.58199e-09
orb_index = 21, gpp_a = 3.67247e-08
orb_index = 22, gpp_a = -2.19319e-10
orb_index = 23, gpp_a = -1.30987e-11
orb_index = 24, gpp_a = -2.46322e-11
w = -19.993, A_a =  0.718056246545
 orb_index = 0, gpp_a = 0.43484
orb_index = 1, gpp_a = 0.414123
orb_index = 2, gpp_a = 0.200665
orb_index = 3, gpp_a = 0.167256
orb_index = 4, gpp_a = 0.15647
orb_index = 5, gpp_a = 2.97627e-05
orb_index = 6, gpp_a = 2.97326e-05
orb_index = 7, gpp_a = 2.92352e-05
orb_index = 8, gpp_a = 2.90624e-05
orb_index = 9, gpp_a = 2.90208e-05
orb_index = 10, gpp_a = 2.68715e-05
orb_index = 11, gpp_a = 2.68455e-05
orb_index = 12, gpp_a = 2.68078e-05
orb_index = 13, gpp_a = 2.6696e-05
orb_index = 14, gpp_a = 2.6631e-05
orb_index = 15, gpp_a = 2.66118e-05
orb_index = 16, gpp_a = 2.65065e-05
orb_index = 17, gpp_a = 2.64085e-05
orb_index = 18, gpp_a = 2.63653e-05
orb_index = 19, gpp_a = 6.92079e-09
orb_index = 20, gpp_a = 2.56269e-09
orb_index = 21, gpp_a = 6.23068e-08
orb_index = 22, gpp_a = 8.9185e-10
orb_index = 23, gpp_a = 2.51509e-11
orb_index = 24, gpp_a = -1.66255e-11
w = -19.928, A_a =  1.37374131125
 orb_index = 0, gpp_a = 0.441003
orb_index = 1, gpp_a = 0.419852
orb_index = 2, gpp_a = 0.2026
orb_index = 3, gpp_a = 0.168728
orb_index = 4, gpp_a = 0.157804
orb_index = 5, gpp_a = 2.97769e-05
orb_index = 6, gpp_a = 2.97462e-05
orb_index = 7, gpp_a = 2.9242e-05
orb_index = 8, gpp_a = 2.90683e-05
orb_index = 9, gpp_a = 2.90265e-05
orb_index = 10, gpp_a = 2.68744e-05
orb_index = 11, gpp_a = 2.68483e-05
orb_index = 12, gpp_a = 2.68107e-05
orb_index = 13, gpp_a = 2.66988e-05
orb_index = 14, gpp_a = 2.66338e-05
orb_index = 15, gpp_a = 2.66151e-05
orb_index = 16, gpp_a = 2.65099e-05
orb_index = 17, gpp_a = 2.64115e-05
orb_index = 18, gpp_a = 2.63681e-05
orb_index = 19, gpp_a = 6.97993e-09
orb_index = 20, gpp_a = 2.58458e-09
orb_index = 21, gpp_a = 6.28943e-08
orb_index = 22, gpp_a = 9.16815e-10
orb_index = 23, gpp_a = 2.60508e-11
orb_index = 24, gpp_a = -1.64251e-11
w = -19.927, A_a =  1.39037271858
 orb_index = 0, gpp_a = 0.447297
orb_index = 1, gpp_a = 0.425701
orb_index = 2, gpp_a = 0.204562
orb_index = 3, gpp_a = 0.170219
orb_index = 4, gpp_a = 0.159154
orb_index = 5, gpp_a = 2.97913e-05
orb_index = 6, gpp_a = 2.976e-05
orb_index = 7, gpp_a = 2.92487e-05
orb_index = 8, gpp_a = 2.90742e-05
orb_index = 9, gpp_a = 2.90321e-05
orb_index = 10, gpp_a = 2.68772e-05
orb_index = 11, gpp_a = 2.68512e-05
orb_index = 12, gpp_a = 2.68135e-05
orb_index = 13, gpp_a = 2.67016e-05
orb_index = 14, gpp_a = 2.66366e-05
orb_index = 15, gpp_a = 2.66184e-05
orb_index = 16, gpp_a = 2.65133e-05
orb_index = 17, gpp_a = 2.64145e-05
orb_index = 18, gpp_a = 2.6371e-05
orb_index = 19, gpp_a = 7.03986e-09
orb_index = 20, gpp_a = 2.60675e-09
orb_index = 21, gpp_a = 6.34903e-08
orb_index = 22, gpp_a = 9.42116e-10
orb_index = 23, gpp_a = 2.69648e-11
orb_index = 24, gpp_a = -1.6221e-11
w = -19.926, A_a =  1.40732002126
 orb_index = 0, gpp_a = 1.46259
orb_index = 1, gpp_a = 1.34032
orb_index = 2, gpp_a = 0.422518
orb_index = 3, gpp_a = 0.32627
orb_index = 4, gpp_a = 0.297781
orb_index = 5, gpp_a = 3.18077e-05
orb_index = 6, gpp_a = 3.16221e-05
orb_index = 7, gpp_a = 2.98675e-05
orb_index = 8, gpp_a = 2.9566e-05
orb_index = 9, gpp_a = 2.94938e-05
orb_index = 10, gpp_a = 2.70555e-05
orb_index = 11, gpp_a = 2.70293e-05
orb_index = 12, gpp_a = 2.69973e-05
orb_index = 13, gpp_a = 2.68803e-05
orb_index = 14, gpp_a = 2.68138e-05
orb_index = 15, gpp_a = 2.68738e-05
orb_index = 16, gpp_a = 2.67889e-05
orb_index = 17, gpp_a = 2.66261e-05
orb_index = 18, gpp_a = 2.65589e-05
orb_index = 19, gpp_a = 1.33027e-08
orb_index = 20, gpp_a = 4.92757e-09
orb_index = 21, gpp_a = 1.30849e-07
orb_index = 22, gpp_a = 3.61253e-09
orb_index = 23, gpp_a = 1.35864e-10
orb_index = 24, gpp_a = 1.25501e-11
w = -19.863, A_a =  3.84987064361
 orb_index = 0, gpp_a = 1.5007
orb_index = 1, gpp_a = 1.37376
orb_index = 2, gpp_a = 0.428439
orb_index = 3, gpp_a = 0.330287
orb_index = 4, gpp_a = 0.301288
orb_index = 5, gpp_a = 3.1879e-05
orb_index = 6, gpp_a = 3.16861e-05
orb_index = 7, gpp_a = 2.98825e-05
orb_index = 8, gpp_a = 2.95767e-05
orb_index = 9, gpp_a = 2.95037e-05
orb_index = 10, gpp_a = 2.70583e-05
orb_index = 11, gpp_a = 2.70322e-05
orb_index = 12, gpp_a = 2.70003e-05
orb_index = 13, gpp_a = 2.68832e-05
orb_index = 14, gpp_a = 2.68166e-05
orb_index = 15, gpp_a = 2.68795e-05
orb_index = 16, gpp_a = 2.67955e-05
orb_index = 17, gpp_a = 2.66301e-05
orb_index = 18, gpp_a = 2.65621e-05
orb_index = 19, gpp_a = 1.34638e-08
orb_index = 20, gpp_a = 4.98761e-09
orb_index = 21, gpp_a = 1.32743e-07
orb_index = 22, gpp_a = 3.68194e-09
orb_index = 23, gpp_a = 1.39072e-10
orb_index = 24, gpp_a = 1.35357e-11
w = -19.862, A_a =  3.93486378551
 orb_index = 0, gpp_a = 0.453726
orb_index = 1, gpp_a = 0.431673
orb_index = 2, gpp_a = 0.206553
orb_index = 3, gpp_a = 0.171731
orb_index = 4, gpp_a = 0.160522
orb_index = 5, gpp_a = 2.9806e-05
orb_index = 6, gpp_a = 2.9774e-05
orb_index = 7, gpp_a = 2.92556e-05
orb_index = 8, gpp_a = 2.90801e-05
orb_index = 9, gpp_a = 2.90378e-05
orb_index = 10, gpp_a = 2.688e-05
orb_index = 11, gpp_a = 2.6854e-05
orb_index = 12, gpp_a = 2.68164e-05
orb_index = 13, gpp_a = 2.67044e-05
orb_index = 14, gpp_a = 2.66394e-05
orb_index = 15, gpp_a = 2.66217e-05
orb_index = 16, gpp_a = 2.65167e-05
orb_index = 17, gpp_a = 2.64175e-05
orb_index = 18, gpp_a = 2.63739e-05
orb_index = 19, gpp_a = 7.10058e-09
orb_index = 20, gpp_a = 2.62921e-09
orb_index = 21, gpp_a = 6.4095e-08
orb_index = 22, gpp_a = 9.67758e-10
orb_index = 23, gpp_a = 2.78931e-11
orb_index = 24, gpp_a = -1.60131e-11
w = -19.925, A_a =  1.42459151834
 orb_index = 0, gpp_a = 1.5403
orb_index = 1, gpp_a = 1.40847
orb_index = 2, gpp_a = 0.434485
orb_index = 3, gpp_a = 0.334378
orb_index = 4, gpp_a = 0.304856
orb_index = 5, gpp_a = 3.19529e-05
orb_index = 6, gpp_a = 3.17524e-05
orb_index = 7, gpp_a = 2.98978e-05
orb_index = 8, gpp_a = 2.95876e-05
orb_index = 9, gpp_a = 2.95137e-05
orb_index = 10, gpp_a = 2.70612e-05
orb_index = 11, gpp_a = 2.7035e-05
orb_index = 12, gpp_a = 2.70034e-05
