-20 0.0327939973185	 0.00830518	0.00823992	0.00338195	0.00221398	0.00220523	0.00279091	0.00282807	0.00277095
-19.999 0.0328455109427	0.00832172	0.00825626	0.00338626	0.00221627	0.00220751	0.00279415	0.00283138	0.00277415
-19.998 0.0328971549582	 0.0083383	0.00827265	0.00339057	0.00221856	0.0022098	0.00279739	0.00283469	0.00277737
-19.997 0.0329489298305	 0.00835493	0.00828909	0.00339489	0.00222086	0.00221208	0.00280065	0.00283801	0.00278059
-19.996 0.0330008360273	 0.00837161	0.00830558	0.00339922	0.00222316	0.00221437	0.0028039	0.00284134	0.00278381
-19.995 0.0330528740186	 0.00838834	0.00832211	0.00340356	0.00222547	0.00221667	0.00280717	0.00284467	0.00278705
-19.994 0.0331050442763	 0.00840512	0.0083387	0.00340791	0.00222778	0.00221897	0.00281044	0.00284801	0.00279028
-19.993 0.0331573472748	 0.00842195	0.00835533	0.00341226	0.00223009	0.00222127	0.00281371	0.00285135	0.00279352
-19.992 0.0332097834905	 0.00843884	0.00837202	0.00341663	0.0022324	0.00222357	0.00281699	0.0028547	0.00279677
-19.991 0.0332623534022	 0.00845577	0.00838875	0.003421	0.00223472	0.00222588	0.00282028	0.00285806	0.00280003
-19.99 0.0333150574907	 0.00847275	0.00840554	0.00342538	0.00223705	0.00222819	0.00282357	0.00286142	0.00280329
-19.989 0.0333678962393	 0.00848979	0.00842237	0.00342976	0.00223937	0.00223051	0.00282687	0.00286478	0.00280655
-19.988 0.0334208701335	 0.00850688	0.00843926	0.00343416	0.0022417	0.00223283	0.00283017	0.00286816	0.00280982
-19.987 0.0334739796609	 0.00852401	0.0084562	0.00343857	0.00224404	0.00223515	0.00283348	0.00287154	0.0028131
-19.986 0.0335272253117	 0.0085412	0.00847319	0.00344298	0.00224637	0.00223748	0.0028368	0.00287492	0.00281638
-19.985 0.0335806075781	 0.00855845	0.00849022	0.0034474	0.00224872	0.00223981	0.00284012	0.00287831	0.00281967
-19.984 0.0336341269548	 0.00857574	0.00850732	0.00345183	0.00225106	0.00224214	0.00284344	0.00288171	0.00282296
-19.983 0.0336877839389	 0.00859309	0.00852446	0.00345627	0.00225341	0.00224448	0.00284678	0.00288511	0.00282626
-19.982 0.0337415790296	 0.00861049	0.00854165	0.00346072	0.00225576	0.00224682	0.00285012	0.00288852	0.00282957
-19.981 0.0337955127286	 0.00862794	0.0085589	0.00346517	0.00225812	0.00224917	0.00285346	0.00289193	0.00283288
-19.98 0.03384958554	 0.00864545	0.0085762	0.00346964	0.00226048	0.00225152	0.00285681	0.00289536	0.00283619
-19.979 0.0339037979703	 0.008663	0.00859355	0.00347411	0.00226284	0.00225387	0.00286017	0.00289878	0.00283952
-19.978 0.0339581505283	 0.00868062	0.00861095	0.0034786	0.00226521	0.00225623	0.00286353	0.00290222	0.00284285
-19.977 0.0340126437253	 0.00869828	0.00862841	0.00348309	0.00226758	0.00225859	0.0028669	0.00290565	0.00284618
-19.976 0.0340672780749	 0.008716	0.00864592	0.00348759	0.00226995	0.00226095	0.00287027	0.0029091	0.00284952
-19.975 0.0341220540934	  0.00873378	0.00866348	0.00349209	0.00227233	0.00226332	0.00287365	0.00291255	0.00285287
-19.974 0.0341769722992	 0.00875161	0.0086811	0.00349661	0.00227471	0.00226569	0.00287704	0.00291601	0.00285622
-19.973 0.0342320332136	 0.00876949	0.00869877	0.00350114	0.00227709	0.00226806	0.00288043	0.00291947	0.00285958
-19.972 0.03428723736	 0.00878743	0.00871649	0.00350567	0.00227948	0.00227044	0.00288383	0.00292294	0.00286294
-19.971 0.0343425852644	 0.00880542	0.00873427	0.00351021	0.00228188	0.00227282	0.00288723	0.00292642	0.00286631
-19.97 0.0343980774556	 0.00882347	0.00875211	0.00351477	0.00228427	0.00227521	0.00289064	0.0029299	0.00286969
-19.969 0.0344537144645	 0.00884157	0.00876999	0.00351933	0.00228667	0.0022776	0.00289406	0.00293339	0.00287307
-19.968 0.0345094968248	 0.00885973	0.00878794	0.0035239	0.00228908	0.00227999	0.00289748	0.00293688	0.00287646
-19.967 0.0345654250727	 0.00887795	0.00880593	0.00352848	0.00229149	0.00228239	0.00290091	0.00294039	0.00287985
-19.966 0.034621499747	  0.00889622	0.00882399	0.00353306	0.0022939	0.00228479	0.00290434	0.00294389	0.00288325
-19.965 0.0346777213891	 0.00891455	0.0088421	0.00353766	0.00229631	0.0022872	0.00290778	0.00294741	0.00288665
-19.964 0.034734090543	                 0.00893294	0.00886026	0.00354227	0.00229873	0.0022896	0.00291123	0.00295093	0.00289007
-19.963 0.0347906077552	      0.00895138	0.00887848	0.00354688	0.00230116	0.00229202	0.00291468	0.00295445	0.00289348
-19.962 0.034847273575	  0.00896988	0.00889676	0.0035515	0.00230358	0.00229443	0.00291814	0.00295799	0.00289691
-19.961 0.0349040885543	 0.00898843	0.00891509	0.00355614	0.00230602	0.00229685	0.00292161	0.00296152	0.00290034
-19.96 0.0349610532476	 0.00900705	0.00893348	0.00356078	0.00230845	0.00229928	0.00292508	0.00296507	0.00290377
-19.959 0.0350181682122	 0.00902572	0.00895193	0.00356543	0.00231089	0.0023017	0.00292855	0.00296862	0.00290722
-19.958 0.0350754340081	 0.00904445	0.00897043	0.00357009	0.00231333	0.00230414	0.00293204	0.00297218	0.00291066
-19.957 0.0351328511978	 0.00906324	0.00898899	0.00357476	0.00231578	0.00230657	0.00293553	0.00297574	0.00291412
-19.956 0.0351904203469	 0.00908209	0.00900761	0.00357944	0.00231823	0.00230901	0.00293902	0.00297931	0.00291758
-19.955 0.0352481420233	 0.00910099	0.00902629	0.00358412	0.00232068	0.00231145	0.00294252	0.00298289	0.00292105
-19.954 0.0353060167981	 0.00911996	0.00904503	0.00358882	0.00232314	0.0023139	0.00294603	0.00298647	0.00292452
-19.953 0.035364045245	 0.00913898	0.00906382	0.00359353	0.0023256	0.00231635	0.00294955	0.00299006	0.002928
-19.952 0.0354222279403	 0.00915807	0.00908267	0.00359824	0.00232807	0.00231881	0.00295307	0.00299366	0.00293148
-19.951 0.0354805654635	  0.00917721	0.00910158	0.00360297	0.00233054	0.00232127	0.0029566	0.00299726	0.00293498
-19.95 0.0355390583967	 0.00919642	0.00912055	0.0036077	0.00233301	0.00232373	0.00296013	0.00300087	0.00293847
-19.949 0.0355977073248	 0.00921568	0.00913958	0.00361244	0.00233549	0.00232619	0.00296367	0.00300449	0.00294198
-19.948 0.0356565128357	 0.00923501	0.00915867	0.0036172	0.00233797	0.00232867	0.00296722	0.00300811	0.00294549
-19.947 0.0357154755202	 0.00925439	0.00917782	0.00362196	0.00234046	0.00233114	0.00297077	0.00301174	0.002949
-19.946 0.0357745959719	 0.00927384	0.00919703	0.00362673	0.00234295	0.00233362	0.00297433	0.00301538	0.00295253
-19.945 0.0358338747873	 0.00929335	0.0092163	0.00363151	0.00234544	0.0023361	0.00297789	0.00301902	0.00295606
-19.944 0.0358933125661	 0.00931292	0.00923563	0.0036363	0.00234794	0.00233859	0.00298147	0.00302267	0.00295959
-19.943 0.0359529099105	 0.00933255	0.00925502	0.0036411	0.00235044	0.00234108	0.00298504	0.00302632	0.00296313
-19.942 0.0360126674261	 0.00935224	0.00927447	0.00364591	0.00235294	0.00234357	0.00298863	0.00302999	0.00296668
-19.941 0.0360725857212	  0.009372	0.00929399	0.00365073	0.00235545	0.00234607	0.00299222	0.00303365	0.00297024
-19.94 0.0361326654073	 0.00939182	0.00931356	0.00365556	0.00235797	0.00234857	0.00299582	0.00303733	0.0029738
-19.939 0.0361929070989	 0.0094117	0.0093332	0.00366039	0.00236049	0.00235108	0.00299942	0.00304101	0.00297737
-19.938 0.0362533114134	 0.00943164	0.0093529	0.00366524	0.00236301	0.00235359	0.00300303	0.0030447	0.00298094
-19.937 0.0363138789715	 0.00945165	0.00937266	0.0036701	0.00236553	0.0023561	0.00300665	0.0030484	0.00298452
-19.936 0.0363746103967	 0.00947172	0.00939248	0.00367496	0.00236806	0.00235862	0.00301027	0.0030521	0.00298811
-19.935 0.0364355063158	 0.00949186	0.00941237	0.00367984	0.0023706	0.00236114	0.0030139	0.00305581	0.0029917
-19.934 0.0364965673587	 0.00951206	0.00943232	0.00368473	0.00237313	0.00236367	0.00301754	0.00305952	0.0029953
-19.933 0.0365577941584	 0.00953233	0.00945233	0.00368962	0.00237568	0.0023662	0.00302118	0.00306325	0.00299891
